Country,Attribute,"Gross domestic product, constant prices","Gross domestic product, current prices","Gross domestic product, deflator","Gross domestic product per capita, constant prices","Gross domestic product per capita, current prices",Gross domestic product based on purchasing-power-parity (PPP) share of world total,Implied PPP conversion rate,Total investment,Gross national savings,"Inflation, average consumer prices","Inflation, end of period consumer prices",Volume of imports of goods and services,Volume of Imports of goods,Volume of exports of goods and services,Volume of exports of goods,Population,General government revenue,General government total expenditure,General government net lending/borrowing,General government primary net lending/borrowing,General government gross debt,"Gross domestic product corresponding to fiscal year, current prices",Current account balance,Unemployment rate,General government net debt,Employment,General government structural balance,Output gap in percent of potential GDP
Libya,2021,111.155,342.099,191.969,32316.118,50983.321,0.1,1.075,27.044,,340.652,350.352,75.835,100.298,161.838,164.723,6.71,205.985,167.582,38.404,38.404,,158.989,-7.28,,,,,
Libya,2022,65.233,362.554,242.793,28918.322,53497.324,0.087,1.271,32.73,,357.515,364.988,-18.845,-7.629,34.006,34.333,6.777,276.813,211.545,65.268,65.268,,181.737,45.288,,,,,
Libya,2023,96.793,400.896,230.061,32224.996,58569.793,0.095,1.161,27.577,,368.536,372.569,-2.931,-4.919,-15.969,-15.994,6.845,208.483,190.595,17.887,17.887,,193.815,29.801,,,,,
Lithuania,2017,44.209,185.693,105.887,47942.711,65653.114,0.078,0.442,19.181,19.716,108.14,109.626,11.141,,13.522,,2.828,46.746,46.1,0.646,2.478,55.969,42.276,0.791,7.073,46.874,1.355,0.608,
Lithuania,2018,45.513,201.179,109.621,50335.219,71810.072,0.078,0.447,20.356,20.643,109.596,109.438,6.025,,6.806,,2.802,49.11,48.241,0.869,2.401,48.985,45.515,0.44,6.146,40.345,1.375,0.672,
Lithuania,2019,48.066,212.195,112.605,52802.863,75943.091,0.08,0.451,17.725,21.267,111.708,113.35,6.005,,10.067,,2.794,50.679,50.286,0.393,1.857,53.348,48.916,5.482,6.254,45.12,1.378,0.004,
Lithuania,2020,43.409,216.602,114.732,52777.079,77499.717,0.082,0.453,14.04,21.331,111.69,110.468,-4.456,,0.403,,2.795,51.963,62.783,-10.819,-9.7,69.34,49.829,11.437,8.488,61.214,1.358,-9.176,
Lithuania,2021,52.01,244.321,121.997,55814.691,87231.748,0.082,0.461,19.632,20.774,120.37,133.072,19.898,,17.006,,2.801,56.657,58.199,-1.543,-0.77,68.229,56.153,1.901,7.113,60.714,1.369,-3.033,
Lithuania,2022,48.786,269.875,142.419,56544.917,95806.863,0.081,0.503,26.735,21.65,156.43,166.8,12.303,,11.899,,2.817,59.661,60.725,-1.064,-0.499,63.577,66.791,-8.664,5.925,56.829,1.421,-2.174,
Lithuania,2023,46.636,289.737,155.897,57014.232,103897.264,0.079,0.531,24.408,24.441,159.687,155.459,-1.833,,-1.71,,2.789,65.349,68.418,-3.07,-2.256,62.466,72.982,0.059,6.5,56.061,1.398,-2.914,
Luxembourg,2017,58.903,192.742,101.012,214114.929,326313.21,0.056,0.844,18.889,23.629,104.264,104.519,0.754,5.609,-0.227,5.727,0.591,67.45,65.288,2.162,1.811,34.474,58.169,7.853,5.843,-17.905,0.432,1.751,0.646
Luxembourg,2018,59.507,202.554,103.145,212643.337,336466.104,0.055,0.842,17.045,20.791,106.234,106.903,3.711,-0.892,3.612,0.54,0.602,72.497,67.731,4.767,4.434,33.478,60.121,6.407,5.103,-18.826,0.448,5.022,-0.396
Luxembourg,2019,62.904,207.13,104.074,214605.825,337404.174,0.055,0.835,18.693,22.116,107.59,108.973,7.411,1.241,5.996,1.429,0.614,73.624,69.989,3.635,3.297,36.328,62.432,5.816,5.403,-22.927,0.463,3.417,0.326
Luxembourg,2020,58.532,213.251,108.55,208504.481,340599.068,0.056,0.859,17.345,20.532,105.949,106.662,-0.377,-9.678,0.593,-10.324,0.626,71.601,77.259,-5.658,-6.041,40.486,64.524,5.532,6.363,-17.302,0.472,2.124,-2.202
Luxembourg,2021,70.871,242.086,113.591,220415.481,381400.146,0.057,0.861,18.84,23.4,113.09,118.446,12.373,17.502,10.278,3.777,0.635,75.144,73.907,1.236,0.766,42.24,72.361,8.466,5.744,-18.715,0.485,1.411,2.299
Luxembourg,2022,65.962,250.451,120.047,219764.291,388057.401,0.056,0.85,17.746,21.368,126.702,126.336,-1.906,-12.054,-0.641,-3.961,0.645,77.775,77.459,0.316,-0.197,44.009,77.529,6.581,4.806,-14.3,0.501,1.693,1.53
Luxembourg,2023,63.855,265.111,127.323,214924.29,403509.637,0.054,0.869,17.887,21.564,125.449,129.318,-2.21,-3.546,-2.411,-4.406,0.657,78.813,83.952,-5.139,-5.583,50.108,81.864,6.952,5.237,-6.461,0.51,-0.275,-0.702
Macao SAR,2017,435.677,533.815,95.101,772054.118,817354.892,0.064,5.155,19.561,,142.786,145.568,,,,,0.653,160.968,94.032,66.936,66.936,0,404.839,46.288,1.975,,0.38,,
Macao SAR,2018,459.678,587.19,98.471,804351.83,879816.026,0.066,5.212,17.218,,148.815,150.695,,,,,0.667,171.144,98.472,72.672,72.672,0,446.283,51.249,1.8,,0.385,,
Macao SAR,2019,439.317,585.703,100.838,770070.959,861834.92,0.063,5.244,14.109,,152.575,154.096,,,,,0.68,179.048,100.448,78.6,78.6,0,445.53,52.299,1.725,,0.388,,
Macao SAR,2020,147.963,268.251,100.593,350610.256,392696.52,0.03,5.163,25.617,,151.85,149.359,,,,,0.683,84.294,148.956,-64.663,-64.663,0,203.399,18.652,2.55,,0.395,,
Macao SAR,2021,260.424,320.372,100,418101.68,468928.545,0.033,4.912,23.133,,151.107,152.726,,,,,0.683,86.015,131.229,-45.214,0,0,241.156,7.601,2.95,,0.378,,
Macao SAR,2022,149.86,237.721,100.367,300209.346,341129.987,0.023,4.608,26.203,,153.703,153.655,,,,,0.697,65.352,181.783,-116.431,0,0,177.269,-28.705,3,,0.378,,
Macao SAR,2023,382.427,418.113,100.663,514813.274,589963.23,0.04,4.457,16.634,,154.932,155.165,,,,,0.709,98.736,143.315,-44.578,0,0,310.068,27.6,2.65,,0.386,,
Madagascar,2017,20311.727,41112.532,202.183,815981.176,1648640.834,0.033,1013.435,15.806,15.385,117.18,124.543,7.033,13.539,-9.658,-3.763,24.937,5284.585,6150.109,-865.524,-579.345,16517.087,41058.841,-0.478,,,,,
Madagascar,2018,20959.689,45942.876,218.96,817875.796,1789457.242,0.033,1071.762,20.703,21.419,126.525,128.799,-0.543,-0.154,-5.945,-4.793,25.674,5984.304,6599.528,-615.225,-261.609,19726.124,45886.302,0.815,,,,,
Madagascar,2019,21885.345,51094.826,233.241,826563.144,1926289.367,0.034,1121.547,22.684,20.395,130.181,130.675,1.837,3.406,14.754,6.494,26.525,7128.63,7855.152,-726.522,-369.824,21094.619,51035.217,-2.612,,,,,
